node_id,timestamp,url,bytes_downloaded,fetch_latency_ms,status_code,is_relevant,cumulative_pages,cumulative_relevant,error
node-1,1776476611.843005,https://arxiv.org/archive/hep-ph,20444,889.7557499585673,200,True,19,17,
node-0,1776476612.481233,https://arxiv.org/html/2604.15297v1,802026,28.062042023520917,200,True,38,25,
node-0,1776476612.676445,https://arxiv.org/format/2604.15259,0,0.0,0,False,39,25,robots.txt disallowed
node-0,1776476612.67661,"https://arxiv.org/search/cs?searchtype=author&query=Labovich,+A",0,0.0,0,False,40,25,robots.txt disallowed
node-1,1776476612.844109,https://arxiv.org/list/hep-ph/recent,90502,11.822333035524935,200,True,20,18,
node-1,1776476612.933486,https://arxiv.org/search/nlin,0,0.0,0,False,21,18,robots.txt disallowed
node-0,1776476613.482443,https://arxiv.org/abs/2604.15273,47665,10.324625007342547,200,True,41,26,
node-1,1776476613.844633,https://arxiv.org/archive/hep-th,20508,176.08262499561533,200,True,22,19,
node-0,1776476614.483579,https://arxiv.org/pdf/2604.15273,492450,20.114957995247096,200,False,42,26,non-HTML content-type
node-0,1776476614.5040472,https://arxiv.org/format/2604.15242,0,0.0,0,False,43,26,robots.txt disallowed
node-0,1776476614.504312,"https://arxiv.org/search/cs?searchtype=author&query=Fiegel,+C",0,0.0,0,False,44,26,robots.txt disallowed
node-0,1776476614.504551,"https://arxiv.org/search/cs?searchtype=author&query=Menard,+P",0,0.0,0,False,45,26,robots.txt disallowed
node-0,1776476614.504888,"https://arxiv.org/search/cs?searchtype=author&query=Kozuno,+T",0,0.0,0,False,46,26,robots.txt disallowed
node-0,1776476614.50526,"https://arxiv.org/search/cs?searchtype=author&query=Valko,+M",0,0.0,0,False,47,26,robots.txt disallowed
node-0,1776476614.5054321,"https://arxiv.org/search/cs?searchtype=author&query=Perchet,+V",0,0.0,0,False,48,26,robots.txt disallowed
node-1,1776476614.848033,https://arxiv.org/list/hep-th/recent,89239,13.464334013406187,200,True,23,20,
node-0,1776476615.484737,https://arxiv.org/html/2604.15273v1,216501,12.037458014674485,200,True,49,27,
node-1,1776476615.849118,https://arxiv.org/archive/nlin,23071,209.4052080065012,200,True,24,21,
node-0,1776476616.485292,https://arxiv.org/abs/2604.15259,46310,9.02520795352757,200,True,50,28,
node-0,1776476616.527978,https://arxiv.org/format/2604.15201,0,0.0,0,False,51,28,robots.txt disallowed
node-0,1776476616.5283551,"https://arxiv.org/search/cs?searchtype=author&query=Senczyszyn,+S+A",0,0.0,0,False,52,28,robots.txt disallowed
node-0,1776476616.528633,"https://arxiv.org/search/cs?searchtype=author&query=Havens,+T+C",0,0.0,0,False,53,28,robots.txt disallowed
node-0,1776476616.528867,"https://arxiv.org/search/cs?searchtype=author&query=Rice,+N",0,0.0,0,False,54,28,robots.txt disallowed
node-0,1776476616.529061,"https://arxiv.org/search/cs?searchtype=author&query=Summers,+J+E",0,0.0,0,False,55,28,robots.txt disallowed
node-0,1776476616.5292008,"https://arxiv.org/search/cs?searchtype=author&query=Werner,+B+D",0,0.0,0,False,56,28,robots.txt disallowed
node-0,1776476616.529377,"https://arxiv.org/search/cs?searchtype=author&query=Schumeg,+B+J",0,0.0,0,False,57,28,robots.txt disallowed
node-1,1776476616.850284,https://arxiv.org/list/nlin/new,48050,9.4757080078125,200,True,25,22,
node-0,1776476617.486381,https://arxiv.org/pdf/2604.15259,1046517,33.36508298525587,200,False,58,28,non-HTML content-type
node-1,1776476617.851443,https://arxiv.org/list/nlin/recent,85223,11.703459022101015,200,True,26,23,
node-1,1776476617.9482381,https://arxiv.org/search/physics,0,0.0,0,False,27,23,robots.txt disallowed
node-0,1776476618.487095,https://arxiv.org/abs/2604.15242,45107,10.655333986505866,200,True,59,29,
node-1,1776476618.852628,https://arxiv.org/list/nlin.CD/recent,66747,80.8950419886969,200,True,28,24,
node-0,1776476619.488297,https://arxiv.org/pdf/2604.15242,667599,24.75058299023658,200,False,60,29,non-HTML content-type
node-0,1776476619.513852,https://arxiv.org/format/2604.15181,0,0.0,0,False,61,29,robots.txt disallowed
node-0,1776476619.514304,"https://arxiv.org/search/cs?searchtype=author&query=Ma,+T",0,0.0,0,False,62,29,robots.txt disallowed
node-0,1776476619.51465,"https://arxiv.org/search/cs?searchtype=author&query=Rosafalco,+L",0,0.0,0,False,63,29,robots.txt disallowed
node-0,1776476619.51508,"https://arxiv.org/search/cs?searchtype=author&query=Cui,+W",0,0.0,0,False,64,29,robots.txt disallowed
node-0,1776476619.515764,"https://arxiv.org/search/cs?searchtype=author&query=Zhao,+L",0,0.0,0,False,65,29,robots.txt disallowed
node-0,1776476619.516088,"https://arxiv.org/search/cs?searchtype=author&query=Frangi,+A",0,0.0,0,False,66,29,robots.txt disallowed
node-1,1776476619.853774,https://arxiv.org/archive/nucl-ex,20302,204.94483300717548,200,True,29,25,
node-0,1776476620.489398,https://arxiv.org/abs/2604.15201,47795,9.13550000404939,200,True,67,30,
node-1,1776476620.854882,https://arxiv.org/list/nucl-ex/recent,81711,79.97987500857562,200,True,30,26,
node-0,1776476621.4905212,https://arxiv.org/pdf/2604.15201,647432,23.196417023427784,200,False,68,30,non-HTML content-type
node-0,1776476621.514783,https://arxiv.org/format/2604.15180,0,0.0,0,False,69,30,robots.txt disallowed
node-0,1776476621.515829,"https://arxiv.org/search/cs?searchtype=author&query=Gon%C3%A7alves,+N",0,0.0,0,False,70,30,robots.txt disallowed
node-1,1776476621.85599,https://arxiv.org/archive/nucl-th,20449,463.10870797606185,200,True,31,27,
node-0,1776476622.491621,https://arxiv.org/abs/2604.15181,46933,8.837083005346358,200,True,71,31,
node-1,1776476622.857193,https://arxiv.org/list/physics/new,443368,21.28533396171406,200,True,32,28,
node-0,1776476623.492843,https://arxiv.org/pdf/2604.15181,24404994,776.4224160346203,200,False,72,31,non-HTML content-type
node-1,1776476623.858349,https://arxiv.org/list/physics.app-ph/recent,96884,36.61062498576939,200,True,33,29,
node-0,1776476624.493967,https://arxiv.org/html/2604.15181v1,469422,22.752791992388666,200,True,73,32,
node-1,1776476624.8595,https://arxiv.org/list/physics.chem-ph/recent,92904,10.999082995112985,200,True,34,30,
node-0,1776476625.495106,https://arxiv.org/abs/2604.15180,47072,13.33899999735877,200,True,74,33,
node-1,1776476625.860648,https://arxiv.org/list/physics.gen-ph/recent,26576,10.22541697602719,200,True,35,31,
node-0,1776476626.4963572,https://arxiv.org/pdf/2604.15180,1020071,29.98887497233227,200,False,75,33,non-HTML content-type
node-1,1776476626.8618062,https://arxiv.org/list/physics.geo-ph/recent,37506,9.912582987453789,200,True,36,32,
node-1,1776476627.8630111,https://arxiv.org/list/physics.ins-det/recent,73486,11.834792036097497,200,True,37,33,
node-1,1776476628.863211,https://arxiv.org/list/physics.med-ph/recent,39357,10.859458008781075,200,True,38,34,
node-1,1776476628.928185,https://arxiv.org/search/quant-ph,0,0.0,0,False,39,34,robots.txt disallowed
node-1,1776476628.981496,https://info.arxiv.org/help/math/index.html,0,3225.29954201309,0,False,43,37,"ClientPayloadError: 400, message:
  Can not decode content-encoding: br"
node-1,1776476629.864395,https://arxiv.org/list/physics.optics/recent,102641,18.091082980390638,200,True,40,35,
node-1,1776476630.865524,https://arxiv.org/list/physics.soc-ph/recent,52551,22.466333000920713,200,True,41,36,
node-1,1776476631.8666172,https://arxiv.org/list/physics.plasm-ph/recent,53011,8.843999996315688,200,True,42,37,
node-1,1776476632.867784,https://arxiv.org/list/physics.pop-ph/recent,15262,10.14224998652935,200,True,44,38,
node-1,1776476633.868524,https://arxiv.org/list/quant-ph/new,395084,19.559916981961578,200,True,45,39,
node-1,1776476634.869676,https://arxiv.org/list/math.AT/recent,46438,9.777292027138174,200,True,46,40,
node-1,1776476635.870867,https://arxiv.org/list/math.CA/recent,57413,13.627709005959332,200,True,47,41,
node-1,1776476636.872044,https://arxiv.org/list/math.AC/recent,36449,9.864708001259714,200,True,48,42,
node-1,1776476637.8732421,https://arxiv.org/list/math.CV/recent,52470,9.58604202605784,200,True,49,43,
node-1,1776476638.874402,https://arxiv.org/list/math.DG/recent,81006,10.42750000488013,200,True,50,44,
node-1,1776476639.875574,https://arxiv.org/list/math.DS/recent,80203,10.362917033489794,200,True,51,45,
node-1,1776476640.878183,https://arxiv.org/list/math.FA/recent,78786,10.773584013804793,200,True,52,46,
node-1,1776476641.8793511,https://arxiv.org/list/math.GM/recent,41107,11.554917029570788,200,True,53,47,
node-1,1776476642.880543,https://arxiv.org/list/math.GN/recent,22282,11.445542040746659,200,True,54,48,
node-1,1776476643.881835,https://arxiv.org/list/math.GR/recent,49494,11.46679202793166,200,True,55,49,
