node_id,timestamp,url,bytes_downloaded,fetch_latency_ms,status_code,is_relevant,cumulative_pages,cumulative_relevant,error
node-1,1776660012.824699,https://arxiv.org/format/2604.16232,0,0.0,0,False,45,18,robots.txt disallowed
node-1,1776660012.8251479,"https://arxiv.org/search/cs?searchtype=author&query=Chatzi,+E",0,0.0,0,False,46,18,robots.txt disallowed
node-1,1776660013.563785,https://arxiv.org/html/2604.16247v1,286734,109.5445419778116,200,True,47,19,
node-1,1776660014.563989,https://arxiv.org/abs/2604.16242,48344,56.0247499961406,200,True,48,20,
node-1,1776660014.9055018,https://arxiv.org/format/2604.16220,0,0.0,0,False,49,20,robots.txt disallowed
node-1,1776660014.905982,"https://arxiv.org/search/cs?searchtype=author&query=Zhang,+H",0,0.0,0,False,50,20,robots.txt disallowed
node-1,1776660015.5644522,https://arxiv.org/html/2604.16242v1,328064,113.69466700125486,200,True,51,21,
node-0,1776660015.961401,https://arxiv.org/list/cs.LG/recent?skip=850&show=50,94302,56.98858399409801,200,True,6,4,
node-1,1776660016.778829,https://arxiv.org/html/2604.16238v1,274059,100.83424998447299,200,True,52,22,
node-1,1776660018.500059,https://arxiv.org/html/2604.16232v1,249929,188.0548329791054,200,True,53,23,
node-1,1776660019.5110579,https://arxiv.org/abs/2604.16220,47513,97.5676670204848,200,True,62,24,
node-1,1776660019.5112882,"https://arxiv.org/search/cs?searchtype=author&query=Ran,+Y",0,0.0,0,False,54,23,robots.txt disallowed
node-1,1776660019.511869,"https://arxiv.org/search/cs?searchtype=author&query=Wang,+M",0,0.0,0,False,55,23,robots.txt disallowed
node-1,1776660019.512376,"https://arxiv.org/search/cs?searchtype=author&query=Xu,+Z",0,0.0,0,False,56,23,robots.txt disallowed
node-1,1776660019.512801,https://arxiv.org/format/2604.16182,0,0.0,0,False,57,23,robots.txt disallowed
node-1,1776660019.5130439,"https://arxiv.org/search/cs?searchtype=author&query=Sousa,+A+S+S",0,0.0,0,False,58,23,robots.txt disallowed
node-1,1776660019.513373,"https://arxiv.org/search/cs?searchtype=author&query=Acasiete,+F",0,0.0,0,False,59,23,robots.txt disallowed
node-1,1776660019.5136142,"https://arxiv.org/search/cs?searchtype=author&query=Granados,+O+M",0,0.0,0,False,60,23,robots.txt disallowed
node-1,1776660019.5138938,"https://arxiv.org/search/cs?searchtype=author&query=Saba,+H",0,0.0,0,False,61,23,robots.txt disallowed
node-1,1776660019.816975,https://arxiv.org/format/2604.16171,0,0.0,0,False,63,24,robots.txt disallowed
node-1,1776660019.817376,"https://arxiv.org/search/cs?searchtype=author&query=Dragomir,+A",0,0.0,0,False,64,24,robots.txt disallowed
node-1,1776660019.817617,"https://arxiv.org/search/cs?searchtype=author&query=Paduraru,+C+D",0,0.0,0,False,65,24,robots.txt disallowed
node-1,1776660019.8178859,"https://arxiv.org/search/cs?searchtype=author&query=Burceanu,+E",0,0.0,0,False,66,24,robots.txt disallowed
node-1,1776660020.5121431,https://arxiv.org/pdf/2604.16220,37365154,8652.764041966293,200,False,75,28,non-HTML content-type
node-1,1776660021.512526,https://arxiv.org/abs/2604.16197,48850,303.2502079731785,200,True,67,25,
node-0,1776660021.5140932,https://arxiv.org/list/cs.LG/recent?skip=0&show=100,174065,81.71662496170029,200,True,10,6,
node-0,1776660021.514526,"https://arxiv.org/search/cs?searchtype=author&query=Hill,+S",0,0.0,0,False,8,5,robots.txt disallowed
node-0,1776660021.8390012,https://arxiv.org/format/2604.16279,0,0.0,0,False,11,6,robots.txt disallowed
node-1,1776660022.512822,https://arxiv.org/pdf/2604.16197,3448020,5598.755959013943,200,False,74,28,non-HTML content-type
node-0,1776660022.515306,https://arxiv.org/list/cs.LG/recent?skip=0&show=2000,1447977,416.8057910283096,200,True,12,7,
node-1,1776660023.51316,https://arxiv.org/html/2604.16197v1,1686697,566.7786250123754,200,True,68,26,
node-1,1776660025.424135,https://arxiv.org/abs/2604.16171,46751,72.96570902690291,200,True,71,27,
node-1,1776660025.4245188,https://arxiv.org/format/2604.16145,0,0.0,0,False,69,26,robots.txt disallowed
node-1,1776660025.426111,"https://arxiv.org/search/cs?searchtype=author&query=Kang,+M",0,0.0,0,False,70,26,robots.txt disallowed
node-1,1776660026.424455,https://arxiv.org/pdf/2604.16145,181437,73.57095798943192,200,False,72,27,non-HTML content-type
node-1,1776660027.424952,https://arxiv.org/html/2604.16145v1,88266,139.17545799631625,200,True,73,28,
node-0,1776660065.8743901,https://arxiv.org/abs/2604.16282,48792,120.72312500094995,200,True,13,8,
node-0,1776660066.875701,https://arxiv.org/pdf/2604.16282,681471,200.29158401302993,200,False,14,8,non-HTML content-type
node-0,1776660067.876859,https://arxiv.org/pdf/2604.16279,1098623,172.71029198309407,200,False,15,8,non-HTML content-type
node-0,1776660068.877999,https://arxiv.org/html/2604.16279v1,929551,398.2161660096608,200,True,16,9,
node-0,1776660070.88367,https://arxiv.org/list/cs.LG/recent?skip=350&show=50,88222,105.53183301817626,200,True,17,10,
node-0,1776660071.884794,https://arxiv.org/list/cs.LG/recent?skip=500&show=50,100503,171.36249999748543,200,True,18,11,
node-0,1776660072.885932,https://arxiv.org/list/cs.LG/recent?skip=550&show=50,95275,201.66529197013006,200,True,19,12,
node-0,1776660073.240308,"https://arxiv.org/search/cs?searchtype=author&query=Tang,+B",0,0.0,0,False,20,12,robots.txt disallowed
node-0,1776660073.887048,https://arxiv.org/list/cs.LG/recent?skip=600&show=50,94208,141.77175000077114,200,True,21,13,
node-0,1776660074.191125,"https://arxiv.org/search/cs?searchtype=author&query=He,+B",0,0.0,0,False,22,13,robots.txt disallowed
node-0,1776660074.1917481,"https://arxiv.org/search/cs?searchtype=author&query=Xiao,+C",0,0.0,0,False,23,13,robots.txt disallowed
node-0,1776660074.19193,"https://arxiv.org/search/cs?searchtype=author&query=Qian,+C",0,0.0,0,False,24,13,robots.txt disallowed
node-0,1776660074.19212,"https://arxiv.org/search/cs?searchtype=author&query=Yu,+T",0,0.0,0,False,25,13,robots.txt disallowed
node-0,1776660074.192353,"https://arxiv.org/search/cs?searchtype=author&query=Gao,+H",0,0.0,0,False,26,13,robots.txt disallowed
node-0,1776660074.887727,https://arxiv.org/list/cs.LG/recent?skip=466&show=25,55942,503.0505000031553,200,True,27,14,
node-0,1776660075.574154,https://arxiv.org/format/2604.13010,0,0.0,0,False,28,14,robots.txt disallowed
node-0,1776660075.5744178,"https://arxiv.org/search/cs?searchtype=author&query=Han,+S",0,0.0,0,False,29,14,robots.txt disallowed
node-0,1776660075.574642,"https://arxiv.org/search/cs?searchtype=author&query=Cai,+H",0,0.0,0,False,30,14,robots.txt disallowed
node-0,1776660075.8889852,https://arxiv.org/list/cs.LG/recent?skip=466&show=100,181657,133.0352920340374,200,True,31,15,
node-0,1776660076.272063,"https://arxiv.org/search/cs?searchtype=author&query=Zhang,+T",0,0.0,0,False,32,15,robots.txt disallowed
node-0,1776660076.27234,"https://arxiv.org/search/cs?searchtype=author&query=Xue,+Z",0,0.0,0,False,33,15,robots.txt disallowed
node-0,1776660076.272553,"https://arxiv.org/search/cs?searchtype=author&query=Jiang,+J",0,0.0,0,False,34,15,robots.txt disallowed
node-0,1776660076.2727401,"https://arxiv.org/search/cs?searchtype=author&query=Xu,+Y",0,0.0,0,False,35,15,robots.txt disallowed
node-0,1776660076.272928,"https://arxiv.org/search/cs?searchtype=author&query=Xu,+C",0,0.0,0,False,36,15,robots.txt disallowed
node-0,1776660076.273066,"https://arxiv.org/search/cs?searchtype=author&query=Wang,+Y",0,0.0,0,False,37,15,robots.txt disallowed
node-0,1776660076.27321,"https://arxiv.org/search/cs?searchtype=author&query=Yan,+S",0,0.0,0,False,38,15,robots.txt disallowed
node-0,1776660076.8901398,https://arxiv.org/list/cs.LG/recent?skip=466&show=2000,708732,178.99312498047948,200,True,39,16,
node-0,1776660077.891018,https://arxiv.org/pdf/2604.13024,727676,256.38191698817536,200,False,40,16,non-HTML content-type
node-0,1776660078.148842,https://arxiv.org/format/2604.12952,0,0.0,0,False,41,16,robots.txt disallowed
node-0,1776660078.149405,"https://arxiv.org/search/cs?searchtype=author&query=Hanneke,+S",0,0.0,0,False,42,16,robots.txt disallowed
node-0,1776660078.892192,https://arxiv.org/abs/2604.13016,49091,155.85149999242276,200,True,43,17,
node-0,1776660079.8933692,https://arxiv.org/abs/2604.13010,48014,43.87724999105558,200,True,44,18,
node-0,1776660080.1804428,"https://arxiv.org/search/cs?searchtype=author&query=Wang,+J+Z",0,0.0,0,False,45,18,robots.txt disallowed
node-0,1776660080.4282649,https://github.com/Jason-Wang313/verification-tax,277488,834.4264580518939,200,True,46,19,
node-0,1776660080.8945122,https://arxiv.org/pdf/2604.12968,8688005,2527.35600003507,200,False,47,19,non-HTML content-type
node-0,1776660082.7882712,https://arxiv.org/pdf/2604.12952,775572,672.8474159608595,200,False,49,19,non-HTML content-type
node-0,1776660083.4229178,"https://arxiv.org/search/cs?searchtype=author&query=Prairie,+H",0,0.0,0,False,48,19,robots.txt disallowed
node-0,1776660083.462581,"https://arxiv.org/search/cs?searchtype=author&query=Gahir,+A",0,0.0,0,False,50,19,robots.txt disallowed
node-0,1776660083.463137,"https://arxiv.org/search/cs?searchtype=author&query=Gowda,+S+N",0,0.0,0,False,51,19,robots.txt disallowed
